VF_ID	log10(human/non_human)	Virulence_factor
CVF373	0.44433	Dermonecrotic toxin (DNT) (CVF373)
VF0576	0.28626	Invasin D (VF0576)
VF0531	0.03621	pilus (VF0531)
VF0505	0.31137	YapE (VF0505)
AI082	0.79468	Putative fimbriae (AI082)
SS095	1.41173	VapA (SS095)
VF0037	0.34796	Hap (VF0037)
CVF094	1.41173	Cysteine protease (CVF094)
CVF222	-1.50777	Lipopolysaccharide Lewis antigens (CVF222)
VF0174	0.78644	BFP (VF0174)
VF0435	0.37636	BoaB (VF0435)
CVF191	-0.07799	Neisseria adhesion A (CVF191)
SS202	1.06365	ESS (SS202)
VF0556	0.71843	IleP (VF0556)
CVF294	-0.24351	Alpha-crystallin (CVF294)
VF0108	0.94607	Rck (VF0108)
CVF749	0.59305	AatA, AIDA-I type (CVF749)
TX178	0.17515	ZapA (TX178)
VF0482	0.48448	RtxA (VF0482)
VF0170	0.30682	SodC (VF0170)
SS001	0.03264	T3SS (SS001)
SS081	0.34588	Hap (SS081)
AI404	0.92945	Atl (AI404)
IA064	0.63072	direct heme uptake system (IA064)
AI035	0.57467	adhesive factor/rabbit 1 (AF/R1) pili (AI035)
SS156	0.25803	BadA (SS156)
AI196	0.29590	Fibronectin-binding protein (AI196)
VF0434	0.29590	BoaA (VF0434)
CVF350	1.37276	LigA (CVF350)
VF0107	1.36452	Spv (VF0107)
VF0275	0.91216	Lmb (VF0275)
VF0151	1.36452	PsaA (VF0151)
SS174	0.32430	Burkholderia Oca-like adhesin A (BoaA) (SS174)
AI250	0.91216	Fibronectin-binding protein (AI250)
VF0462	1.36452	Bap (VF0462)
VF0010	1.36452	FnBPs (VF0010)
CVF562	1.35613	Hemolysin II (CVF562)
VF0536	0.60224	InhA (VF0536)
CVF865	0.19745	Invasin D (CVF865)
SS005	-0.30873	PAI-2 encoded (SS005)
AI136	-0.04274	Type 2 pili (AI136)
VF0077	1.35613	Opc (VF0077)
VF0410	-0.07555	LLS (VF0410)
TX056	-0.49345	Sd-CDT (TX056)
TX035	-0.57687	Hh-CDT (TX035)
CVF450	0.43364	AIDA-I (CVF450)
VF0381	0.80261	iota-toxin (VF0381)
TX008	0.80261	CST: Sa, Sb (TX008)
CVF571	0.65466	Phosphatidylcholine-preferring phospholipase C (PC-PLC) (CVF571)
CNF2	0.30159	Cytotoxic necrotizing factor (CNF2) (TX029)
VF0261	0.00889	CsrA (VF0261)
AI405	1.14655	Elastin-binding protein (EbpS) (AI405)
VF0013	0.80261	Hyaluronate lyase (VF0013)
CVF136	1.34758	Streptodornase (CVF136)
VF0032	0.65466	TcfA (VF0032)
VF0222	0.52499	S fimbriae (VF0222)
CVF454	0.28977	Cytotoxic necrotizing factor 1 (CVF454)
VF0226	0.28977	CNF-1 (VF0226)
VF0240	0.28977	CNF-1 (VF0240)
VF0322	-0.17691	CadF (VF0322)
SS159	0.06337	VompC (SS159)
CVF640	0.28977	BoaB (CVF640)
VF0018	1.33885	PVL (VF0018)
CVF616	0.79312	Fsr locus (CVF616)
TX045	-0.55448	Cf-CDT-II (TX045)
VF0554	0.64473	AnsP (VF0554)
VF0391	-1.26600	sialidase (VF0391)
TX170	0.27763	thermolabile hemolysin (TLH)/lecithin-dependent hemolysin (LDH) (TX170)
AI131	0.12141	SpaH-type pili (AI131)
TX047	-0.54283	Cl-CdtB (TX047)
VF0252	0.78341	DNase (VF0252)
VF0265	0.40001	MARTX (VF0265)
VF0471	-0.10902	Quorom sensing (VF0471)
VF0521	-1.12158	ESX-3 (VF0521)
CVF416	-1.24744	Sialidase (CVF416)
CVF568	1.31156	AtxA (CVF568)
VF0090	0.76333	Alkaline protease (VF0090)
SS157	-0.05495	VompA (SS157)
CVF873	0.68380	CPAF (CVF873)
VF0449	0.17027	PrsA2 (VF0449)
VF0407	-0.43183	CdtB (VF0407)
VF0537	0.85575	BapC (VF0537)
SS064	0.76333	Ag43 (SS064)
VF0027	1.10977	Pertactin (VF0027)
AI345	1.31156	RtxA (AI345)
VF0382	1.10007	theta-toxin/PFO (VF0382)
TX424	1.30207	leukocidin (F component: LukF-PV; S component: LukM) (TX424)
TX048	-0.50590	Cu-CDT (TX048)
TX040	-0.50590	Hci-CDT (TX040)
VF0250	1.10007	SLO (VF0250)
VF0511	0.95732	YaxAB (VF0511)
AI094	1.29236	curli fibers/thin aggregative fimbriae (AGF) (AI094)
CVF038	0.02319	CNF (CVF038)
SS072	-0.12851	EspI (SS072)
CVF746	-0.12851	EspI, SPATE (CVF746)
VF0327	0.18281	PEB1 (VF0327)
VF0232	0.36355	Pic (VF0232)
VF0011	1.29236	<gamma>-hemolysin (VF0011)
TX044	-0.49285	Cf-CDT-I (TX044)
AI090	1.07998	F9 fimbriae (AI090)
TX086	1.28244	lethal toxin: LF, PA (TX086)
SS160	0.08568	VompD (SS160)
VF0419	0.57988	Acm (VF0419)
TX043	-0.47940	Cc-CDT (TX043)
CVF301	-1.37727	Lipid phosphatase (CVF301)
SS006	-0.20927	PAI-3 encoded (SS006)
VF0405	0.15311	CAI-1 (VF0405)
TX187	0.15311	VHH (TX187)
VF0376	1.27228	TcdA (VF0376)
AI411	1.27228	SasG (AI411)
AI211	1.27228	Fibronectin-binding protein (AI211)
AI438	1.27228	Shr (AI438)
AI361	-0.67453	MG1142 (AI361)
CVF491	-1.36700	OapA (CVF491)
VF0093	-0.02950	Quorum sensing (VF0093)
VF0005	0.49101	CNA (VF0005)
CVF067	1.26188	Enterotoxin-like N (CVF067)
CVF809	1.26188	Adr1 (CVF809)
CVF750	1.26188	Hemolysin/cytolysin A (CVF750)
CVF424	1.25122	ToxB (CVF424)
CNF3	0.16586	Cytotoxic necrotizing factor (CNF3) (TX030)
SS104	0.79090	ApeE (SS104)
SS042	-0.64882	virB-homolog (Vbh) (SS042)
VF0167	-0.71151	GspA (VF0167)
SS158	-0.04859	VompB (SS158)
VF0314	0.03504	MmaA4 (VF0314)
VF0208	-0.21455	EspP (VF0208)
VF0231	-0.13128	Sat (VF0231)
CVF817	0.69683	Acm (CVF817)
CVF509	-0.21455	SpaH-type pili (CVF509)
TX421	1.25122	leukocidin (F component: LukD; S component: lukE) (TX421)
AI199	-0.08995	Fibronectin-binding protein (AI199)
VF0163	1.25122	enh loci (VF0163)
VF0122	1.24030	IcsP (SopA) (VF0122)
VF0131	1.24030	Invasin (VF0131)
SS060	0.77909	Vag8 (SS060)
VF0224	0.40444	F1C fimbriae (VF0224)
CVF527	-0.11088	N-(3-oxo-hexanoyl)-Lhomoserine lactone QS system (CVF527)
AI180	0.46488	Fibronectin-binding protein (AI180)
TX422	1.24030	leukocidin (F component: LukF-I; S component: LukS-I) (TX422)
TX425	1.24030	leukocidin (F component: LukG; S component: LukH) (TX425)
SS070	-0.15326	EpeA (SS070)
SS010	1.24030	SPI-1 encoded T3SS (SS010)
TX401	1.03680	streptolysin O e (SLOe) (TX401)
VF0337	0.89247	Pht (VF0337)
SS112	-0.02607	Proteus toxic agglutinin (Pta) (SS112)
CVF756	1.22909	AggR (CVF756)
SS062	1.22909	PmpD/Pmp21 (SS062)
AI130	0.04188	SpaD-type pili (AI130)
AI177	1.22909	Fibronectin-binding protein (AI177)
VF0120	0.13277	Pic (VF0120)
CVF810	1.22909	Adr2 (CVF810)
VF0247	1.22909	Streptokinase (VF0247)
VF0295	-1.32331	SigE (VF0295)
CVF155	-1.32331	Neuraminidase A (CVF155)
CVF503	-1.32331	Transferrin-binding protein 2 (CVF503)
VF0393	0.16316	CNF<s>y</s> (VF0393)
VF0119	-0.24629	SigA (VF0119)
AI339	0.21270	PEB1 (AI339)
VF0396	-0.29251	Mig-5 (VF0396)
AI407	0.75444	SdrD (AI407)
CVF420	1.21759	Botulinum neurotoxin (BoNT) (CVF420)
VF0375	1.21759	BoNT (VF0375)
TX089	1.21759	Botulinum neurotoxin (BoNT), type A2 (TX089)
TX091	1.21759	Botulinum neurotoxin (BoNT), type A4 (TX091)
VF0133	0.48950	YadA (VF0133)
AI101	0.74158	bundle-forming pili, Bfp (AI101)
SS074	0.30275	Hbp (hemoglobin-binding protease) (SS074)
CVF068	1.20577	Enterotoxin-like O (CVF068)
VF0233	0.19584	Tsh (VF0233)
AI068	0.74158	Tcf (AI068)
SS068	-0.22681	EaaC (SS068)
SS067	-0.22681	EaaA (SS067)
TX092	1.20577	Botulinum neurotoxin (BoNT), type B1 (TX092)
TX093	1.20577	Botulinum neurotoxin (BoNT), type B2 (TX093)
TX095	1.20577	Botulinum neurotoxin (BoNT), bivalent B (TX095)
TX094	1.20577	Botulinum neurotoxin (BoNT), type B3 (TX094)
TX096	1.20577	Botulinum neurotoxin (BoNT), nonproteolytic B (TX096)
TX036	-1.12814	Hpu-CDT (TX036)
CVF715	1.20577	NleB2-2 (CVF715)
AI399	-0.06521	TaaP (AI399)
SS065	0.72832	AIDA-I (SS065)
AI354	-0.35353	histone-like protein (Hlp)/laminin-binding protein (LBP) (AI354)
SS075	0.23118	Tsh (temperature-sensitive haemagglutinin) (SS075)
CVF611	1.19363	Ace (CVF611)
SS063	0.23118	SepA (SS063)
TX090	1.19363	Botulinum neurotoxin (BoNT), type A3 (TX090)
CVF427	0.32874	S fimbriae (CVF427)
VF0173	-0.13657	EspC (VF0173)
VF0271	-0.28382	HhuA (VF0271)
VF0377	1.18113	TcdB (VF0377)
TX061	1.18113	Lethal toxin (TcsL) (TX061)
SS080	0.26966	Vat (SS080)
VF0146	0.61826	Hyaluronate lyase (VF0146)
VF0320	0.05789	Phospholipase C (VF0320)
TX103	1.18113	Botulinum neurotoxin (BoNT), type G (TX103)
TX037	-1.10243	Hb-CDT (TX037)
VF0071	1.18113	Ami (VF0071)
VF0137	0.14093	Ymt (VF0137)
VF0510	1.16827	YapC (VF0510)
CVF533	-1.26169	Harpins, pilus-associated proteins and other candidate TTSS helpers (CVF533)
AI256	-0.61071	Fibronectin-binding protein (AI256)
VF0270	-0.36894	Hgp (VF0270)
AI217	0.81621	Fibronectin-binding protein (AI217)
VF0499	0.31187	OmpA (VF0499)
VF0281	0.70052	Hyaluronate lyase (VF0281)
VF0121	0.94903	IcsA (VirG) (VF0121)
VF0386	1.15501	alpha-toxin (novyi) (VF0386)
AI412	1.15501	SraP (AI412)
AI272	1.15501	Fibrinogen binding protein (AI272)
TX403	1.15501	streptolysin O c (SLOc) (TX403)
CVF055	1.15501	Enterotoxin A (CVF055)
CVF096	1.15501	Staphylocoagulase (CVF096)
CVF375	1.15501	TTSS secreted proteins (CVF375)
CVF482	1.15501	VirF (CVF482)
AI306	0.48755	B. anthracis S-layer protein A (BslA) (AI306)
VF0012	1.14133	Lipase (VF0012)
SS145	0.21474	HadA (Haemophilus adhesin A) (SS145)
VF0241	0.93491	TraJ (VF0241)
IA057	-0.57702	direct heme uptake system (IA057)
VF0004	1.14133	Clumping factor (VF0004)
AI179	1.14133	Fibronectin-binding protein (AI179)
CVF463	1.14133	Mxi-Spa TTSS effectors controlled by VirB (CVF463)
SS054	0.78750	Rvh (SS054)
CVF143	1.14133	IdeS (CVF143)
VF0249	-0.06105	SpeB (VF0249)
VF0128	1.12721	CT (VF0128)
CVF410	0.92032	Perfringolysin O (theta-toxin/PFO) (CVF410)
AI087	0.65517	CupC fimbriae (AI087)
TX461	0.13538	VFH (TX461)
CVF060	1.12721	Enterotoxin G (CVF060)
TX051	-0.25109	Ec-CDT-II (TX051)
CVF175	1.12721	Alpha-like protein (CVF175)
AI233	1.12721	Fibronectin-binding protein (AI233)
CVF103	1.12721	Elastin binding protein (CVF103)
VF0374	1.12721	TeNT (VF0374)
TX038	-1.04594	Hca-CdtB (TX038)
CVF297	-1.22002	Enhanced intracellular survival protein (CVF297)
TX398	0.90521	sphaericolysin (SPH) (TX398)
TX399	0.90521	alveolysin (ALV) (TX399)
VF0516	0.11339	VCC (VF0516)
TX458	0.11339	VMH (TX458)
TX460	0.11339	VAH1 (TX460)
AI129	-0.00225	SpaA-type pili (AI129)
CVF177	1.11261	Rib (CVF177)
VF0427	0.90521	BimA (VF0427)
CVF805	-0.11454	Rvh T4SS effector (CVF805)
TX102	1.11261	Botulinum neurotoxin (BoNT), type F (TX102)
TX101	1.11261	Botulinum neurotoxin (BoNT), type E3 (TX101)
TX099	1.11261	Botulinum neurotoxin (BoNT), type E1 (TX099)
TX100	1.11261	Botulinum neurotoxin (BoNT), type E2 (TX100)
VF0445	1.11261	InlJ (VF0445)
AI048	-0.22734	H. influenzae fimbriae (AI048)
CVF261	1.09751	Zonula occludens toxin (CVF261)
CVF525	0.35615	N-(butanoyl)-L-homoserine lactone QS system (CVF525)
AI298	0.09023	collagen-binding protein (AI298)
TX105	1.09751	BoNT/E5 (TX105)
TX104	1.09751	BoNT/E4 (TX104)
CVF871	1.09751	Internalin P (CVF871)
AI219	1.09751	Fibronectin-binding protein (AI219)
VF0210	1.08186	Heat-labile toxin (LT) (VF0210)
TX007	0.50399	C2 toxin: C2I, C2II (TX007)
VF0384	0.50399	C2 toxin (VF0384)
SS119	-0.17557	HMW1-HMW1B (SS119)
VF0418	1.08186	Scm (VF0418)
CVF108	1.08186	Fibrinogen binding protein (CVF108)
VF0520	1.08186	P44/Msp2 family (VF0520)
IA019	0.39581	enterobactin (IA019)
CVF688	1.06563	EspL1 (CVF688)
TX400	0.85647	brevilysin (BVL) (TX400)
SS120	-0.14716	HMW2-HMW2B (SS120)
CVF818	1.06563	Scm (CVF818)
CVF677	0.31526	Cell wall teichoic acid glycosylation protein (CVF677)
CVF085	1.06563	Alpha hemolysin (CVF085)
CVF089	1.06563	Staphylokinase (CVF089)
TX120	1.06563	Staphylococcal enterotoxin-like O (SELO) (TX120)
TX119	1.06563	Staphylococcal enterotoxin-like N (SELN) (TX119)
CVF469	0.48490	Serine protease (CVF469)
IA002	-0.20963	pyochelin (IA002)
VF0089	0.85647	Rhamnolipid (VF0089)
VF0185	-0.98099	CDT (VF0185)
VF0029	0.48490	Dnt (VF0029)
CVF755	1.04877	Enterotoxin SenB/TieB (CVF755)
AI315	-0.38331	Peb4/CBF2 (AI315)
TX393	0.83893	cereolysin O (CLO) (TX393)
TX394	0.83893	weihenstephanensilysin (WLO) (TX394)
CVF430	0.68782	Tia/Hek (CVF430)
AI135	-0.31365	Type 1 pili (AI135)
VF0145	0.07832	CBPs (VF0145)
AI182	1.04877	Fibronectin-binding protein (AI182)
TX112	1.04877	Staphylococcal enterotoxin G (SEG) (TX112)
VF0360	0.68782	Fsr (VF0360)
VF0276	1.04877	<alpha>-C protein (VF0276)
AI302	1.04877	collagen-binding protein (AI302)
VF0052	-0.38331	HP-NAP (VF0052)
CVF264	1.04877	Thermostable direct hemolysin (CVF264)
VF0517	1.04877	TDH (VF0517)
VF0518	1.04877	TRH (VF0518)
TX097	1.04877	Botulinum neurotoxin (BoNT), type C (TX097)
CVF009	1.04877	Pef (CVF009)
CVF291	-1.14025	Antigen 85 complex (CVF291)
CVF330	-1.14025	WhiB3 (CVF330)
TX392	0.82064	thuringiensilysin O (TLO) (TX392)
CVF266	0.27011	V.cholerae cytolysin (CVF266)
AI296	0.44401	collagen-binding protein (AI296)
VF0452	1.03122	fHbp (VF0452)
CVF507	-0.15083	SpaA-type pili (CVF507)
SS106	0.44401	SepA (Shigella extracellular protein) (SS106)
CVF543	-0.59966	Phospholipase D (CVF543)
TX411	0.82064	butyriculysin (BRY) (TX411)
TX055	-0.94446	Ea-CDT (TX055)
VF0307	-0.94446	LipF (VF0307)
CVF634	-1.12237	ESX-2 (T7SS) (CVF634)
VF0412	0.16730	BtpA/Btp1/TcpB (VF0412)
VF0016	1.01294	Eap/Map (VF0016)
AI301	1.01294	collagen-binding protein (AI301)
VF0522	1.01294	BtpB (VF0522)
VF0235	0.09297	S fimbriae (VF0235)
TX098	1.01294	Botulinum neurotoxin (BoNT), type D (TX098)
VF0246	1.01294	Hyaluronidase (VF0246)
VF0204	0.99385	Efa-1/LifA (VF0204)
VF0175	0.99385	Lymphostatin/LifA (VF0175)
AI401	0.99385	Burkholderia Oca-like adhesin A (BoaA) (AI401)
VF0420	0.99385	vWbp (VF0420)
AI159	0.99385	Fibronectin-binding protein (AI159)
CVF710	0.99385	EspY4 (CVF710)
CVF168	0.99385	Streptolysin S (CVF168)
VF0203	0.97389	ToxB (VF0203)
VF0534	0.76067	ALO (VF0534)
AI299	0.97389	collagen-binding protein (AI299)
CVF617	0.19215	Cytolysin (CVF617)
AI154	0.11029	Fibronectin-binding protein (AI154)
CVF323	-1.06384	Cu,Zn superoxide dismutase (CVF323)
TX003	0.95296	Heat-labile enterotoxin, LTII (TX003)
VF0190	0.95296	Per (VF0190)
CVF128	-1.04244	Glucan-binding proteins (CVF128)
TX118	0.95296	Staphylococcal enterotoxin-like M (SELM) (TX118)
AI426	0.95296	AgI/II proteins (AI426)
VF0290	0.95296	FrgA (VF0290)
VF0300	-1.04244	IdeR (VF0300)
VF0070	0.95296	InlB (VF0070)
CVF423	-0.37844	Porcine attaching-effacing associated protein (CVF423)
VF0129	0.93098	Zot (VF0129)
CVF280	0.93098	Neuraminidase (CVF280)
TX114	0.93098	Staphylococcal enterotoxin I (SEI) (TX114)
VF0364	0.04465	Pili (VF0364)
SS069	0.55824	EatA (SS069)
CVF446	0.55824	Temperature-sensitive hemagglutinin (CVF446)
AI065	0.71552	Stg fimbriae (AI065)
VF0546	0.93098	RipA (VF0546)
VF0459	0.93098	FsaP (VF0459)
VF0545	0.93098	DipA (VF0545)
VF0549	0.93098	FmvB (VF0549)
VF0548	0.93098	OmpA (VF0548)
SELU2	0.93098	Staphylococcal enterotoxin U2 (SELU2) (TX125)
CVF156	0.93098	Streptococcal pyrogenic exotoxin A (CVF156)
TX057	-0.83692	Sb-CDT (TX057)
CVF371	0.93098	Pertussis toxin (PT) (CVF371)
AI020	0.43074	coli surface antigen CS2 (AI020)
SS164	0.13113	UspA2H (SS164)
SS163	0.13113	ubiquitous surface protein UspA2 (SS163)
SS149	0.13113	EibA (SS149)
SS150	0.13113	EibC (SS150)
SS151	0.13113	EibD (SS151)
SS153	0.13113	EibF (SS153)
SS031	0.09707	T3SS (SS031)
CVF526	-0.81181	N-(3-oxo-dodecanoyl)-L-homoserine lactone QS system (CVF526)
AI424	-0.99618	Antigen I/II (SpaP) (AI424)
VF0453	0.40317	NspA (VF0453)
AI204	0.69106	Fibronectin-binding protein (AI204)
CVF112	0.90782	M-like proteins (CVF112)
VF0514	0.53231	OmpU (VF0514)
VF0466	-0.16624	LPS (VF0466)
CVF162	0.90782	Streptococcal pyrogenic exotoxin K (CVF162)
VF0324	0.90782	CiaB (VF0324)
VF0395	0.09707	Mig-14 (VF0395)
CVF613	0.90782	SprE (CVF613)
VF0064	0.90782	LLO (VF0064)
VF0308	-0.99618	FadD33 (VF0308)
SS152	0.09707	EibE (SS152)
SS170	0.09707	EibG (SS170)
CVF687	0.88335	EspK (CVF687)
VF0194	-0.31042	Paa (VF0194)
VF0186	-0.31042	Paa (VF0186)
VF0533	0.88335	Nhe (VF0533)
VF0540	0.88335	SgrA (VF0540)
VF0355	0.88335	Ace (VF0355)
TX023	0.88335	NarE (TX023)
TX162	0.25989	PI-PLC (phosphatidylinositol-specific phospholipase C) (TX162)
TX115	0.88335	Staphylococcal enterotoxin J (SEJ) (TX115)
TX012	0.88335	SpyA (TX012)
AI030	0.88335	coli surface antigen CS17 (AI030)
CVF673	0.88335	LntA (CVF673)
VF0165	0.88335	LigA (VF0165)
VF0259	0.88335	RtxA (VF0259)
CVF690	0.85743	EspL4 (CVF690)
TX464	0.85743	HlyII (Hemolysin II) (TX464)
VF0006	0.85743	Staphopain (VF0006)
AI054	0.85743	SEF14 fimbriae (AI054)
CVF815	0.85743	RickA (CVF815)
AI043	0.85743	F1C pili (AI043)
CVF157	0.85743	Streptococcal pyrogenic exotoxin C (CVF157)
AI427	0.85743	AgI/II proteins (AI427)
VF0526	0.85743	SpaP  (VF0526)
TX176	0.85743	ZmpB (TX176)
TX383	0.47530	colicin Ib (TX383)
AI032	0.85743	coli surface antigen CS19 (AI032)
VF0069	0.85743	InlA (VF0069)
VF0161	0.85743	MOMP (VF0161)
VF0135	0.85743	Yst (VF0135)
VF0258	0.82986	ShET2 (VF0258)
CVF531	0.82986	P. aeruginosa TTSS translocated effectors (CVF531)
VF0099	0.82986	ExoY (VF0099)
AI445	0.44372	PblA (AI445)
AI413	0.60812	gspB (AI413)
SS115	0.82986	Sca1 (SS115)
SS043	-0.33633	VirB (SS043)
CVF125	0.82986	Antigen I/II (AgI/II) family of oral streptococcal adhesins (CVF125)
AI251	0.82986	Fibronectin-binding protein (AI251)
CVF602	0.07934	Invasion-associated locus B (CVF602)
TX121	0.82986	Staphylococcal enterotoxin-like P (SELP) (TX121)
PCFO71	0.82986	putative colonization factor O71 (PCFO71) (AI045)
SS155	-0.12690	NadA (SS155)
VF0493	0.80042	rOmpB/Sca5 (VF0493)
PCFO9	0.80042	CS13 (PCFO9) (AI027)
AI004	0.80042	REPEC fimbriae (AI004)
CVF262	0.80042	Accessory cholera enterotoxin (CVF262)
VF0001	0.80042	<alpha>-hemolysin (VF0001)
VF0494	-0.18296	Phospholipase A2 (VF0494)
AI300	0.80042	collagen-binding protein (AI300)
VF0242	0.80042	M protein (VF0242)
VF0254	0.80042	GRAB (VF0254)
CVF139	-0.07448	Mitogenic factor 3 (CVF139)
VF0209	-0.41196	StcE (VF0209)
TX124	0.80042	Staphylococcal enterotoxin-like U (SELU) (TX124)
CVF062	0.80042	Enterotoxin I (CVF062)
TX123	0.80042	Staphylococcal enterotoxin-like R (SELR) (TX123)
TX385	0.57654	colicin K (TX385)
VF0104	0.80042	Pef (VF0104)
AI019	0.80042	coli surface antigen CS1 (AI019)
CVF428	-0.29412	F1C fimbriae (CVF428)
CVF339	-0.88561	Mce4 (CVF339)
VF0297	-0.88561	HspR (VF0297)
CVF390	0.80042	JlpA (CVF390)
TX171	0.80042	PlaB (TX171)
CVF626	0.80042	LvgA (CVF626)
TX039	-0.88561	Hf-CdtB (TX039)
CVF719	0.76884	NleG-1 (CVF719)
CVF703	0.76884	EspX4 (CVF703)
AI040	0.76884	K88 pili/F4 fimbriae (AI040)
CVF683	0.76884	K88 fimbriae (CVF683)
AI297	0.76884	collagen-binding protein (AI297)
AI265	0.76884	Fibrinogen binding protein (AI265)
CVF137	0.76884	Mitogenic factor (CVF137)
CVF111	0.76884	M protein (CVF111)
CVF072	0.76884	Enterotoxin-like U (CVF072)
SS014	0.76884	TTS3 (SS014)
TX382	0.76884	colicin Ia (TX382)
VF0390	0.76884	alpha-clostripain (VF0390)
VF0148	-0.85293	Neuraminidase (VF0148)
TX381	0.37270	colicin E1 (TX381)
CVF422	0.73478	Intimin (CVF422)
AI428	0.73478	AgI/II proteins (AI428)
CVF140	0.73478	Mitogenic factor 4 (CVF140)
SS111	-0.07092	McaP (SS111)
CVF878	0.73478	Sbi (CVF878)
CVF090	0.73478	Serine V8 protease (CVF090)
CVF408	0.73478	Alpha-toxin (CVF408)
AI218	0.73478	Fibronectin-binding protein (AI218)
IA071	-0.19493	Transferrin and lactoferrin-mediated iron uptake (IA071)
VF0042	-0.81758	P2 protein (VF0042)
TX389	0.33230	Col5 (TX389)
CVF701	0.73478	EspX1 (CVF701)
TX046	-0.81758	Ch-CdtB (TX046)
CVF731	0.69782	NleG8-2 (CVF731)
CVF724	0.69782	NleG-3 (CVF724)
PCFO159	0.69782	coli surface antigen CS12 (PCFO159) (AI026)
SS098	0.69782	RpeA (SS098)
AI178	0.69782	Fibronectin-binding protein (AI178)
TX143	0.69782	S. dysgalactiae exotoxin G (SPE-Gdys) (TX143)
CVF161	0.69782	Streptococcal pyrogenic exotoxin J (CVF161)
AI188	-0.00179	Fibronectin-binding protein (AI188)
AI197	0.69782	Fibronectin-binding protein (AI197)
AI203	0.69782	Fibronectin-binding protein (AI203)
CVF244	-0.77911	PC-PLC (CVF244)
SSL8	0.69782	Superantigen-like protein (SSL8) (TX156)
VF0017	0.69782	SpA (VF0017)
AI156	0.69782	Fibronectin-binding protein (AI156)
VF0358	0.69782	SprE (VF0358)
VF0438	0.69782	InlC (VF0438)
TX390	0.46512	Col10 (TX390)
CVF391	0.69782	MOMP (CVF391)
AI088	0.69782	CupD fimbriae (AI088)
VF0325	0.13654	Type IV secretion system (VF0325)
CVF706	0.23811	EspX7 (CVF706)
CVF689	0.65742	EspL2 (CVF689)
TX060	0.65742	CT166 (TX060)
AI120	0.65742	type IV pili (AI120)
CVF165	0.65742	Mitogenic exotoxin Z (CVF165)
CVF057	0.65742	Enterotoxin C (CVF057)
VF0439	0.65742	InlK (VF0439)
CVF338	-0.73689	Mce3 (CVF338)
CVF542	-0.73689	Phospholipase C (CVF542)
VF0008	0.61287	EbpS (VF0008)
TX423	0.61287	leukocidin (F component: LukF-R; S component: LukS-R) (TX423)
AI442	0.61287	Scl2/SclB (AI442)
AI042	0.61287	F18 fimbriae (AI042)
VF0413	-0.47845	TcpC (VF0413)
VF0447	0.01609	InlF (VF0447)
CVF340	-0.69012	Mce5 (CVF340)
CVF646	-0.69012	Lipoprotein (CVF646)
AI437	-0.30255	amylase-binding protein B (AbpB) (AI437)
AI232	0.61287	Fibronectin-binding protein (AI232)
TX028	-0.69012	PMT (TX028)
CVF273	0.56322	T3SS2 (CVF273)
CVF694	0.56322	EspO1-1 (CVF694)
AI382	0.11766	Rck (AI382)
TX445	-0.63771	Cyt2Aa (TX445)
TX449	-0.63771	Cyt2Ca (TX449)
VF0130	0.56322	Ace (VF0130)
IA072	0.11766	Transferrin and lactoferrin-mediated iron uptake (IA072)
AI267	0.31487	Fibrinogen binding protein (AI267)
SS113	0.56322	Sca2 (SS113)
VF0492	0.56322	rOmpA/Sca0 (VF0492)
CVF179	0.11766	Surface immunogenic protein (CVF179)
CVF876	0.56322	CHIPS (CVF876)
CVF066	0.56322	Enterotoxin-like M (CVF066)
CVF064	0.56322	Enterotoxin-like K (CVF064)
CVF138	0.11766	Mitogenic factor 2 (CVF138)
AI207	0.56322	Fibronectin-binding protein (AI207)
PCFO166	-0.05953	coli surface antigen CS14 (PCFO166) (AI028)
AI018	0.11766	Colonization factor antigen I fimbriae (CFA/I) (AI018)
TX053	-0.41882	Ec-CDT-IV (TX053)
CVF342	-0.63771	Mce7 (CVF342)
VF0040	-0.63771	OapA (VF0040)
AI185	-0.15116	Fibronectin-binding protein (AI185)
CVF704	0.50716	EspX5 (CVF704)
VF0110	0.50716	GrvA (VF0110)
TX443	-0.57808	Cyt1Ba (TX443)
SS061	0.50716	Pmp20 (SS061)
VF0218	0.50716	Pic (VF0218)
VF0021	0.50716	Staphylokinase (VF0021)
AI409	0.25048	IsdB (AI409)
TX196	0.50716	ClyA (TX196)
AI212	0.50716	Fibronectin-binding protein (AI212)
TX255	-0.57808	Cry4Aa (TX255)
TX256	-0.57808	Cry4Ba (TX256)
VF0063	-0.57808	PlcA (VF0063)
VF0402	-0.57808	ESX-5 (VF0402)
VF0491	0.04204	Pld (VF0491)
TX126	0.50716	Staphylococcal enterotoxin V (SELV) (TX126)
Scl1	0.50716	streptococcal collagen-like protein 1 (Scl1)/SclA (AI441)
TX141	0.50716	S. equi pyrogenic exotoxin L (SPE-Lse) (TX141)
TX144	0.50716	Streptococcus dysgalactiae-derived mitogen (SDM) (TX144)
SS052	-0.34969	T4SS (SS052)
TX142	0.50716	S. equi pyrogenic exotoxin M (SPE-Mse) (TX142)
AI160	0.50716	Fibronectin-binding protein (AI160)
VF0378	0.50716	alpha-toxin (CpPLC) (VF0378)
TX160	0.50716	<alpha>-toxin (PLC) (TX160)
CVF343	-0.57808	Mce8 (CVF343)
AI022	0.04204	coli surface antigen CS4 (AI022)
SS045	0.25048	TFS3a (SS045)
